Accession	Length	Family	species	Genus	Host_range_isolates	Host_range_taxon	Database
1273103.PRJNA192806.APHY01000004__71974__27415__71970|prophage_in_EMBL_progenomes_representative_genomes,phage_finder|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
uvig_432364	76238	NA	NA	NA	8080_1#73,GCA_003434745,12718_7#38,GCA_003434055	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA	GPD
ERR1190578_119_134389_round8-12~2304880	NA	NA	NA	NA	NA	NA	mMGE
uvig_401842	18141	Podoviridae	NA	NA	GCA_003457975,GCA_003472405,GCA_003458335,GCA_003473205	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	GPD
ERR1398260_141_60378_round347~1667551	NA	NA	NA	NA	NA	NA	mMGE
uvig_295618	38163	NA	NA	NA	GCA_003474785,GCA_003469405,GCA_003463405,GCA_003464465	Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus	GPD
DRR149267_141_220853_round1256~2069637	NA	NA	NA	NA	NA	NA	mMGE
acc|GENBANK|MT121959.1|CRESS							
k141_156521_round13~2767477	NA	NA	NA	NA	NA	NA	mMGE
uvig_298127	45440	NA	NA	NA	GCA_003467845,GCA_003475805,GCA_003466285,GCA_003437905,20298_2#6,GCA_003439535,GCA_003437645,GCA_003435045	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A	GPD
uvig_288872	52365	NA	NA	NA	NA	NA	GPD
uvig_211359	36738	NA	NA	NA	GCA_003473825,GCA_003481825	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/NA/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA	GPD
uvig_237307	60240	NA	NA	NA	GCA_003635425,GCA_003438675,13414_6#6,GCA_003635485,GCA_003471825,GCF_001078555,GCA_003469235,GCA_003437495,GCF_000162275	Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis	GPD
ivig_3521	40583	NA	NA	NA	GCA_003481205,13414_6#33,GCA_003480245,GCA_003482095,GCA_003435675,GCA_003480555,GCA_003482385,GCA_003479185,GCA_003481175,GCA_003481425,GCA_003479155,GCA_003481455,14207_7#8,GCA_003481245,GCA_003480845	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	GPD
uvig_553505	39177	NA	NA	NA	NA	NA	GPD
uvig_200263	27725	NA	NA	NA	NA	NA	GPD
uvig_306537	15290	NA	NA	NA	GCA_003461085,13414_6#3	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus sp1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus sp1	GPD
uvig_150842	34017	NA	NA	NA	NA	NA	GPD
k79_249350_round8-12~2317102	NA	NA	NA	NA	NA	NA	mMGE
SRR5091536_141_50432_round347~4856172	NA	NA	NA	NA	NA	NA	mMGE
uvig_205345	37813	NA	NA	NA	NA	NA	GPD
ERR1190657_119_70654_round8-12~4053307	NA	NA	NA	NA	NA	NA	mMGE
uvig_102084	21296	NA	NA	NA	NA	NA	GPD
uvig_456255	54838	NA	NA	NA	GCA_003434235,GCA_003436145	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_B/Coprococcus_B comes	GPD
uvig_381246	42086	NA	NA	NA	NA	NA	GPD
SRR5091577_141_2464_round347~3229104	NA	NA	NA	NA	NA	NA	mMGE
uvig_240455	41601	NA	NA	NA	NA	NA	GPD
uvig_248027	61401	NA	NA	NA	GCA_003472575,GCA_003465205,GCA_003464925,GCA_003466335,GCA_003436315,GCA_003437435,GCA_003465775,GCA_003471505,GCA_003472545,13470_2#59,GCF_000154085,GCA_003467515,GCA_003436675,GCA_003471415,GCA_003465065,GCA_003465385,GCA_003437825,GCA_003468385,GCA_003469145,GCA_003473105,GCA_003464325,GCA_003468555	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	GPD
SRR2241506_119_73844_round347~4844257	NA	NA	NA	NA	NA	NA	mMGE
k141_8011_round1256~2506740	NA	NA	NA	NA	NA	NA	mMGE
scaffold102146_2__212637__176243__211850|prophage_in_metagenomic_assembled_contigs,phage_finder,human_gut|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
uvig_292761	26920	NA	NA	NA	NA	NA	GPD
k119_92113_round13~3752080	NA	NA	NA	NA	NA	NA	mMGE
k141_34463_round13~8001247	NA	NA	NA	NA	NA	NA	mMGE
SRR8506040_141_287309_round8-12~2608713	NA	NA	NA	NA	NA	NA	mMGE
uvig_307958	15345	NA	NA	NA	GCA_003464175	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens	GPD
SRR10479822_141_60065_round347~726107	NA	NA	NA	NA	NA	NA	mMGE
uvig_253494	37325	NA	NA	NA	GCA_003460725,GCA_003463185,GCA_003478705,14207_7#40,GCA_003434235,GCF_000156035,GCA_003481215	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Tyzzerella/Tyzzerella nexilis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Tyzzerella/Tyzzerella nexilis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1	GPD
k141_228815_round13~6411339	NA	NA	NA	NA	NA	NA	mMGE
uvig_116780	26695	NA	NA	NA	13470_2#72	Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum	GPD
uvig_256993	36000	Myoviridae	NA	NA	NA	NA	GPD
ERR2855839_141_220884_round1256~191822	NA	NA	NA	NA	NA	NA	mMGE
uvig_493556	113222	NA	NA	NA	GCA_003635405	Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis	GPD
SRR3582151_119_3673_round8-12~4768111	NA	NA	NA	NA	NA	NA	mMGE
uvig_367012	14243	NA	NA	NA	NA	NA	GPD
uvig_379501	36546	NA	NA	NA	NA	NA	GPD
SRR10479845_141_4281_round347~4393516	NA	NA	NA	NA	NA	NA	mMGE
uvig_551681	49259	NA	NA	NA	GCF_000218425,GCF_000155205	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B lactaris	GPD
uvig_201260	33778	NA	NA	NA	NA	NA	GPD
uvig_335841	35125	NA	NA	NA	13470_2#72,GCF_000225685	Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum	GPD
k141_20075_round13~6235315	NA	NA	NA	NA	NA	NA	mMGE
uvig_539974	30339	Siphoviridae	NA	NA	GCF_000154505,8080_1#84,18048_2#56,18048_1#56	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens_A	GPD
uvig_143665	36371	NA	NA	NA	GCA_003473245,GCA_003479805,GCA_003468085,GCA_003437235	Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA,Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA,Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA,Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA	GPD
uvig_463291	35633	NA	NA	NA	NA	NA	GPD
uvig_258652	45583	NA	NA	NA	GCA_003477925,GCA_003479985,GCA_003478615,21673_4#77,GCA_003477595	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1	GPD
uvig_541382	47318	Siphoviridae	NA	NA	GCA_003467845,GCA_003475805,8080_1#78,GCA_003466285,GCA_003437905,20298_2#6,14207_7#39,GCA_003437645,GCA_003435045	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A	GPD
DRR171563_141_112998_round13~8625362	NA	NA	NA	NA	NA	NA	mMGE
uvig_81859	40335	NA	NA	NA	GCA_003603815	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/Eisenbergiella tayi	GPD
uvig_84912	22235	NA	NA	NA	13470_2#84	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
k141_23722_round13~6449732	NA	NA	NA	NA	NA	NA	mMGE
uvig_554000	43678	NA	NA	NA	NA	NA	GPD
k141_71081_round13~9445359	NA	NA	NA	NA	NA	NA	mMGE
uvig_126690	130729	NA	NA	NA	NA	NA	GPD
uvig_295319	80919	NA	NA	NA	NA	NA	GPD
uvig_108973	17067	NA	NA	NA	GCF_000154365,13470_2#84,GCF_001078445,GCF_001078425,11861_6#93	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
SRR2175819_119_27865_round347~4163781	NA	NA	NA	NA	NA	NA	mMGE
uvig_248884	17816	Podoviridae	NA	NA	GCA_003474835,GCA_003472575,GCA_003468555,GCA_003471415,GCA_003467065,GCA_003472545,GCA_003465065,GCA_003471505,GCA_003464925,GCA_003465385	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	GPD
k141_64126_round1256~1064736	NA	NA	NA	NA	NA	NA	mMGE
uvig_247288	32892	NA	NA	NA	NA	NA	GPD
k99_37550_round8-12~3395226	NA	NA	NA	NA	NA	NA	mMGE
uvig_375793	44626	NA	NA	NA	20298_3#48	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/Blautia producta_A	GPD
acc|REFSEQ|NC_031069.1|Streptococcus							
SRR2912808_99_33265_round347~24284	NA	NA	NA	NA	NA	NA	mMGE
uvig_584620	101696	NA	NA	NA	NA	NA	GPD
SRR5279267_119_25431_round347~5181000	NA	NA	NA	NA	NA	NA	mMGE
uvig_244256	34356	NA	NA	NA	GCA_003479865,GCA_003435675,GCA_003480695,GCA_003481175,GCA_003460955,GCA_003479155,GCA_003462165,GCA_003480905,GCA_003481455,GCA_003481245,GCA_003481205	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	GPD
CP013334.1__2521574__246165__271098|prophage_in_NCBI_complete_prokaryotic_genomes,phage_finder|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
uvig_34802	37076	NA	NA	NA	GCA_003461025,GCA_003463185,GCA_003435835,GCA_003461655,GCA_003461065	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Tyzzerella/Tyzzerella nexilis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis	GPD
SRR10479817_141_142010_round347~2546945	NA	NA	NA	NA	NA	NA	mMGE
k119_69355_round1256~2256705	NA	NA	NA	NA	NA	NA	mMGE
uvig_8241	44739	NA	NA	NA	NA	NA	GPD
k99_19939_round1256~1342308	NA	NA	NA	NA	NA	NA	mMGE
SRR10479838_141_28090_round347~1407004	NA	NA	NA	NA	NA	NA	mMGE
uvig_231059	32286	NA	NA	NA	NA	NA	GPD
uvig_137168	22145	NA	NA	NA	GCF_000156675	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/Blautia hansenii	GPD
uvig_449463	13107	NA	NA	NA	NA	NA	GPD
uvig_348958	37920	NA	NA	NA	GCA_003468965,GCA_003474775	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis	GPD
uvig_71782	20801	NA	NA	NA	NA	NA	GPD
uvig_121970	33401	NA	NA	NA	NA	NA	GPD
k119_284947_round1256~2374468	NA	NA	NA	NA	NA	NA	mMGE
uvig_590863	80765	NA	NA	NA	NA	NA	GPD
uvig_539917	42458	NA	NA	NA	GCF_000154505,8080_1#84,GCF_000218425	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea scindens	GPD
uvig_171999	12518	Podoviridae	NA	NA	GCA_003458535	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans	GPD
uvig_80913	35303	Myoviridae	NA	NA	GCF_000144975,GCF_000205025,GCA_003481265	Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Parasutterella/Parasutterella excrementihominis,Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Parasutterella/Parasutterella excrementihominis,Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Parasutterella/Parasutterella excrementihominis	GPD
k141_146542_round13~8150895	NA	NA	NA	NA	NA	NA	mMGE
uvig_187963	62538	NA	NA	NA	NA	NA	GPD
DRR174597_141_3971_round1256~5852883	NA	NA	NA	NA	NA	NA	mMGE
SRR5650074_119_134412_round347~2239585	NA	NA	NA	NA	NA	NA	mMGE
uvig_131551	53957	NA	NA	NA	NA	NA	GPD
uvig_72537	42785	NA	NA	NA	14207_7#31,GCF_001404835,13414_6#14,GCF_001404655,13670_3#12,GCA_003480775	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus	GPD
SRR2037083_119_10878_round1256~4952958	NA	NA	NA	NA	NA	NA	mMGE
k99_72345_round8-12~4800829	NA	NA	NA	NA	NA	NA	mMGE
uvig_583183	37477	NA	NA	NA	NA	NA	GPD
SRR8506039_141_208317_round8-12~2974434	NA	NA	NA	NA	NA	NA	mMGE
uvig_136779	13264	NA	NA	NA	NA	NA	GPD
scaffold20705_5__57293__35862__50523|prophage_in_metagenomic_assembled_contigs,phage_finder,human_gut|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
ERR2764819_99_38186_round347~3632659							
k119_11985_round13~10221762							
k141_21510_round13~5984948							
NZ_CP042584.1							
k141_121060_round13~6433124							
k141_75959_round13~4846806							
uvig_581460	47684	NA	NA	NA	NA	NA	GPD
SRR2566053_141_20620_round8-12~4416033	NA	NA	NA	NA	NA	NA	mMGE
SRR5983360_119_27420_round347~991335	NA	NA	NA	NA	NA	NA	mMGE
SRR413715_99_47760_round347~4720483	NA	NA	NA	NA	NA	NA	mMGE
SRR5947866_119_27712_round347~4252422	NA	NA	NA	NA	NA	NA	mMGE
SRR413698_99_49586_round347~1034919	NA	NA	NA	NA	NA	NA	mMGE
ivig_8	49829	NA	NA	NA	GCA_003433695,GCA_003434225	Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/NA,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/NA	GPD
